QPara,APara,RPara
Est-ce que tu peux prendre de la tarte ?,C'est possible de prendre de la tarte.,Prend de la tarte !
Est-ce que tu peux conduire ?,C'est possible de conduire.,Conduit !
Est-ce que tu peux laver ton assiette ?,C'est possible de laver ton assiette.,Lave ton assiette !
Est-ce que tu peux emmener ton chien ?,C'est possible d'emmener ton chien.,Emmène ton chine !
Est-ce que tu peux envoyer un mail à ton prof ?,C'est possible d'envoyer un mail à ton prof.,Envoie un mail à ton prof !
Est-ce que tu peux jouer de la guitare ?,C'est possible de jouer de la guitare.,Joue de la guitare !
Est-ce que tu peux allumer la lumière ?,C'est possible d'allumer la lumière.,Allume la lumière !
Est-ce que tu peux lire la phrase ?,C'est possible de lire la phrase.,Lis la phrase !
Est-ce que tu peux parler plus fort ?,C'est possible de parler plus fort.,Parle plus fort !
Est-ce que tu peux commander les billets ?,C'est possible de commander les billets,Command les billets !
Est-ce que tu peux ouvrir le coffre ?,C'est possible d'ouvrir le coffre.,Ouvre le coffre !
Est-ce que tu peux laver les mains ?,C'est possible de laver les mains.,Lave les mains !
